,Libellé de la commune,latitude,longitude
629,Courtrizy-et-Fussigny,49.5204633,3.7899253
630,Couvrelles,49.3388889,3.4886111
631,Couvron-et-Aumencourt,49.6436111,3.5175
632,Coyolles,49.2341051,3.0436365
633,Cramaille,49.2293,3.45668
634,Craonne,49.4393721,3.7872093
635,Craonnelle,49.4319444,3.7711111
636,Crécy-au-Mont,49.4886111,3.3255556
637,Crécy-sur-Serre,49.6982562,3.6219824
638,Crépy,49.605,3.5147222
639,Crézancy,49.0492,3.50789
640,Croix-Fonsommes,NaN,NaN
641,La Croix-sur-Ourcq,49.1683132,3.3541739
642,Crouttes-sur-Marne,48.9796,3.24001
643,Crouy,49.4025,3.36
644,Crupilly,49.9254769,3.7548392
645,Cuffies,49.404961,3.3201048
646,Cugny,49.7096,3.15787
647,Cuirieux,49.6806049,3.8182139
648,Cuiry-Housse,49.2964,3.49131
649,Cuiry-lès-Chaudardes,49.386614,3.7704316
